"hfpxzc href","qBF1Pd","MW4etd","AJB7ye 2","W4Efsd","W4Efsd 3","W4Efsd 5","p0Hhde src"
"","","","","","","",""
"https://www.google.com/maps/place/Bebek+Sinjay/data=!4m7!3m6!1s0x2dd80576c84a54d3:0xfb25a1b85558795c!8m2!3d-7.0382696!4d112.7684461!16s%2Fg%2F11c3j5c4_1!19sChIJ01RKyHYF2C0RXHlYVbihJfs?authuser=0&hl=en&rclk=1","Bebek Sinjay","4.3","$$","Indonesian","Jl. Raya Ketengan No.45","⋅ Opens 7 AM Mon","https://lh5.googleusercontent.com/p/AF1QipOtEQ_oyz6xunuwiw4gV8aaBSOwpiw40CUkmX5W=w122-h92-k-no"
"https://www.google.com/maps/place/Rumah+Makan+Tera%27+Bulan/data=!4m7!3m6!1s0x2dd805727c338c59:0x69e4ecca3ed9e5e!8m2!3d-7.0415185!4d112.774292!16s%2Fg%2F1hm5qp9xq!19sChIJWYwzfHIF2C0RXp7to8xOngY?authuser=0&hl=en&rclk=1","Rumah Makan Tera' Bulan","4.5","$$","Satay restaurant","Jl. Raya Ketengan No.69","⋅ Opens 9 AM Mon","https://lh5.googleusercontent.com/p/AF1QipMv02i3fertxi_sA65va3M3oxBhvqpoO4jx1SV5=w122-h92-k-no"
"https://www.google.com/maps/place/RM+Budi+Luhur/data=!4m7!3m6!1s0x2dd80f62a994f565:0x8f160da6e6542b8b!8m2!3d-7.025346!4d112.7506345!16s%2Fg%2F1hm2kt54d!19sChIJZfWUqWIP2C0RiytU5qYNFo8?authuser=0&hl=en&rclk=1","RM Budi Luhur","4.4","$$","Indonesian","Jl. Jaksa Agung Suprapto No.23A","⋅ Opens 6 AM Mon","https://lh5.googleusercontent.com/p/AF1QipONp39Gc5A7l68GRMc1M6SymnVMf4PVx8nQz4lU=w92-h92-k-no"
"https://www.google.com/maps/place/Warung+Amboina/data=!4m7!3m6!1s0x2dd805c0bc51ebe7:0xc66a726328518dce!8m2!3d-7.0291987!4d112.7469859!16s%2Fg%2F11b6d7d57v!19sChIJ5-tRvMAF2C0Rzo1RKGNyasY?authuser=0&hl=en&rclk=1","Warung Amboina","4.5","$$","East Javanese restaurant","Jl. Sultan Abd. Kadirun No.18","⋅ Opens 6:30 AM Mon","https://lh5.googleusercontent.com/p/AF1QipOez-3Au3f8x8TAo0tqoTAsSMwYgOZDB54e64f3=w80-h106-k-no"
"https://www.google.com/maps/place/Joglo+Resto+Bangkalan/data=!4m7!3m6!1s0x2dd8056f06e76c7f:0xc58b7c750a221f1e!8m2!3d-7.0700252!4d112.7205503!16s%2Fg%2F11j34p5d5p!19sChIJf2znBm8F2C0RHh8iCnV8i8U?authuser=0&hl=en&rclk=1","Joglo Resto Bangkalan","4.3","","Restaurant","WPHC+X6M, Jalan RAYA","⋅ Opens 11 AM Mon","https://lh5.googleusercontent.com/p/AF1QipPTAAP-Cwj3OYx5p6yTHN04PToAa_A4KEzEPxfK=w122-h92-k-no"
"https://www.google.com/maps/place/Bebek+Songkem+Pak+Salim/data=!4m7!3m6!1s0x2dd80573ce2a8a93:0x6ee3d56e2ae35cf1!8m2!3d-7.0419018!4d112.7748743!16s%2Fg%2F11bc96prkp!19sChIJk4oqznMF2C0R8VzjKm7V424?authuser=0&hl=en&rclk=1","Bebek Songkem Pak Salim","4.3","$$","Indonesian","Jl. Raya Ketegan No.85","⋅ Opens 7 AM Mon","https://lh5.googleusercontent.com/p/AF1QipP1MqIm2rAL4qqyttli5Y7W5ikSW-1VhHXknDp0=w163-h92-k-no"
"https://www.google.com/maps/place/Suramadu+Resto+%26+Cafe/data=!4m7!3m6!1s0x2dd8052403fdece1:0x80ba677e47949826!8m2!3d-7.0582169!4d112.7936272!16s%2Fg%2F1hm5yp9yf!19sChIJ4ez9AyQF2C0RJpiUR35nuoA?authuser=0&hl=en&rclk=1","Suramadu Resto & Cafe","3.9","$$","Restaurant","WQRV+PF6, Jl. Raya Cantian Tangkel Bangkalan","⋅ Opens 8 AM Mon","https://lh5.googleusercontent.com/p/AF1QipMrJo4IsLvFX8-PHuo1_l3G38jYIpy_dNZnX-4f=w122-h92-k-no"
"https://www.google.com/maps/place/RUMAH+MAKAN+TUNGGAL/data=!4m7!3m6!1s0x2dd80323218c0b29:0x7b0b5ca72146a38c!8m2!3d-7.1349004!4d112.7900251!16s%2Fg%2F11hbhg1_j7!19sChIJKQuMISMD2C0RjKNGIadcC3s?authuser=0&hl=en&rclk=1","RUMAH MAKAN TUNGGAL","4.3","$$","Restaurant","","","https://lh5.googleusercontent.com/p/AF1QipMKbDHC6pkMgXBRTXkEwCkNr9L962yUqzwlZhk5=w92-h92-k-no"
"https://www.google.com/maps/place/Rm+Nya+Lete%27/data=!4m7!3m6!1s0x2dd80528f45a0a91:0x9609d4daa74bc353!8m2!3d-7.025346!4d112.7506345!16s%2Fg%2F11j1cbsv43!19sChIJkQpa9CgF2C0RU8NLp9rUCZY?authuser=0&hl=en&rclk=1","Rm Nya Lete'","4.6","$$","Restaurant","Jl. Jaksa Agung Suprapto No.23a","⋅ Opens 6 AM Mon","https://lh5.googleusercontent.com/p/AF1QipOxt4a4VCul-sx2prES7zFrWRPQp42KPtD3Lk5u=w80-h106-k-no"
